Actual,Forecast
48113.00000000001,48245.156
51225.0,49240.043
53695.0,52121.27
52030.0,52662.934
49631.0,49175.414
48040.00000000001,47212.11
45347.0,45409.293
42886.0,42816.31
41661.0,41188.957
40952.0,41206.09
41405.0,41416.78
42867.0,43233.016
47423.0,47176.508
56249.00000000001,55217.004
62750.0,63202.926
65443.0,66038.26
65263.0,66922.29
65638.0,67533.02
66628.0,67537.71
65541.0,67302.484
64633.00000000001,65329.152
63591.0,63983.336
62795.00000000001,63078.32
62005.0,62851.094
61941.0,62478.062
63957.0,62528.75
65905.0,63737.566
61932.0,63018.04
57673.0,57180.85
53965.0,53976.027
50271.99999999999,50073.965
47326.99999999999,47432.94
45647.0,45440.016
44782.0,45206.93
44971.0,44837.414
46225.0,46164.598
49911.99999999999,50307.957
57768.00000000001,56676.273
64076.99999999999,63652.902
65646.0,66457.67
65571.0,66487.71
66004.0,67049.266
67141.0,67251.984
65733.0,67236.79
65129.0,64975.77
64292.0,64357.766
63358.0,63835.85
62224.0,63287.4
62653.0,62450.234
64696.0,63328.684
66100.0,64014.973
62653.0,62654.754
58332.0,57732.12
54423.0,54271.957
50462.0,50526.91
47663.0,47518.695
45858.0,45825.066
44862.0,45222.02
45367.0,44751.945
46807.0,46805.965
50299.0,50902.43
57405.0,56747.016
63804.00000000001,63318.77
65527.99999999999,66455.44
65523.0,66491.97
65762.0,66831.1
67451.0,66970.11
66646.0,67571.26
65843.0,65869.17
64672.0,64905.133
63629.0,64147.45
62050.00000000001,63708.633
62115.99999999999,62385.33
64587.0,63034.35
65993.0,64402.953
62300.0,62724.95
58104.99999999999,57476.242
54056.0,54224.434
50326.0,50194.617
47512.0,47504.902
46399.0,45644.906
45420.0,46138.44
45869.0,45415.832
47246.0,47355.79
51025.0,51541.586
58485.0,57643.16
64346.00000000001,64074.082
66355.0,66680.3
66703.0,67179.805
67716.0,67920.945
68939.0,68552.49
68389.0,68736.414
67374.0,67527.32
65716.0,66386.29
64650.0,64961.277
63161.0,64656.156
63433.0,63486.844
65628.0,64186.99
66525.0,65232.62
62975.00000000001,63361.387
58683.0,58392.22
54962.00000000001,54812.316
51146.0,51150.484
48034.0,48142.2
46641.0,46120.945
45729.0,46210.68
46157.0,45795.344
47549.0,47583.984
50991.0,51712.5
58475.99999999999,57543.78
64675.0,64325.297
66431.0,67114.71
66261.0,67211.41
66558.0,67618.94
67104.0,67770.734
65837.0,67226.29
63620.0,65118.85
61919.0,62519.797
61115.0,61531.348
60590.00000000001,62036.97
60942.0,61904.22
62804.00000000001,61705.64
63449.0,62266.027
59800.0,60470.61
55612.0,55456.664
52903.00000000001,51924.703
49661.0,49270.504
46881.0,46812.824
45114.0,45204.586
44484.0,44260.438
44288.0,44360.883
44296.0,44578.168
44946.0,45283.445
46652.0,47327.395
50116.99999999999,50057.99
53120.0,53683.082
55656.0,55473.79
56343.0,56894.37
56627.00000000001,56412.03
56830.0,56201.863
55127.99999999999,56165.18
52897.99999999999,53538.996
52526.0,51393.785
52163.0,53002.2
53288.00000000001,52948.887
55830.0,54222.383
56264.0,55855.113
52978.00000000001,54172.152
50114.0,49776.59
48451.99999999999,47550.71
45318.0,45642.605
42762.0,42805.637
40902.0,41128.33
40032.0,39844.137
40046.0,39738.97
40192.0,40313.86
40466.0,40747.125
41145.0,41680.17
43072.0,43513.01
46233.0,46235.266
48681.99999999999,49201.766
50799.0,50416.234
