,Actual,Forecast,Temperature
2020-03-15,58534.23809523809,62170.89830463107,6.442857142857143
2020-03-22,55372.744047619046,61788.40155086342,6.757142857142857
2020-03-29,53471.982142857145,57704.10514585849,3.5
2020-04-05,52845.267857142855,57393.265649832145,4.542857142857143
2020-04-12,47210.88690476191,57926.81392871603,10.914285714285715
2020-04-19,47415.69642857143,56967.94114502452,8.928571428571429
2020-04-26,50172.41666666666,57682.887193354276,11.914285714285715
2020-05-03,48161.90476190476,55209.466357646386,12.771428571428572
2020-05-10,49590.77976190476,55850.66213569578,12.114285714285714
2020-05-17,50926.97619047619,57901.36962373429,9.642857142857142
2020-05-24,47439.642857142855,55751.799248758456,14.842857142857143
2020-05-31,49527.607142857145,57001.20797844449,13.928571428571429
2020-06-07,48776.244047619046,58193.02909855291,16.47142857142857
2020-06-14,48219.744047619046,57507.3232926929,18.82857142857143
2020-06-21,49813.94642857143,58217.26893171346,19.342857142857145
2020-06-28,50480.79166666666,57391.93534436558,21.542857142857144
2020-07-05,51458.875,57958.44856517701,20.042857142857144
2020-07-12,51252.57738095238,56422.33151944128,16.3
2020-07-19,50896.18452380953,56099.49761531577,18.442857142857143
2020-07-26,50475.73809523809,57367.39831279737,19.014285714285712
2020-08-02,50049.392857142855,57195.81110166743,20.62857142857143
2020-08-09,49450.92261904762,56083.437200761044,23.62857142857143
2020-08-16,52076.73809523809,55025.93959479085,25.185714285714283
2020-08-23,51872.05952380953,56200.17474189732,23.457142857142856
2020-08-30,51653.375,56566.42089985998,17.728571428571428
2020-09-06,51617.744047619046,57175.915815208995,15.942857142857141
2020-09-13,51507.63095238096,57362.42318199107,16.485714285714288
2020-09-20,52181.32738095238,58344.84222671863,17.214285714285715
2020-09-27,53411.93452380953,57869.87947891905,15.0
2020-10-04,57410.319444444445,56255.18638300428,13.814285714285715
