date,temperature
2015-01-04,3.525
2015-01-11,3.914285714285714
2015-01-18,4.8428571428571425
2015-01-25,0.05714285714285713
2015-02-01,1.4000000000000001
2015-02-08,-1.2285714285714284
2015-02-15,1.8
2015-02-22,2.1
2015-03-01,2.4285714285714284
2015-03-08,4.9142857142857155
2015-03-15,5.1000000000000005
2015-03-22,5.714285714285714
2015-03-29,7.014285714285713
2015-04-05,4.328571428571428
2015-04-12,8.685714285714285
2015-04-19,9.014285714285714
2015-04-26,11.385714285714286
2015-05-03,9.942857142857141
2015-05-10,14.685714285714285
2015-05-17,12.514285714285716
2015-05-24,13.514285714285714
2015-05-31,13.785714285714286
2015-06-07,17.87142857142857
2015-06-14,17.942857142857143
2015-06-21,14.37142857142857
2015-06-28,16.0
2015-07-05,23.885714285714283
2015-07-12,18.942857142857143
2015-07-19,19.599999999999998
2015-07-26,20.37142857142857
2015-08-02,17.37142857142857
2015-08-09,24.942857142857143
2015-08-16,25.085714285714285
2015-08-23,20.12857142857143
2015-08-30,20.357142857142858
2015-09-06,17.642857142857142
2015-09-13,14.928571428571429
2015-09-20,16.371428571428574
2015-09-27,13.514285714285714
2015-10-04,11.799999999999999
2015-10-11,10.0
2015-10-18,6.428571428571429
2015-10-25,9.314285714285715
2015-11-01,8.414285714285715
2015-11-08,8.157142857142857
2015-11-15,11.328571428571427
2015-11-22,8.185714285714287
2015-11-29,2.1
2015-12-06,6.9
2015-12-13,6.057142857142857
2015-12-20,6.942857142857143
2015-12-27,9.914285714285715
2016-01-03,0.5142857142857145
2016-01-10,-3.228571428571428
2016-01-17,0.2285714285714286
2016-01-24,-3.542857142857143
2016-01-31,6.3999999999999995
2016-02-07,5.742857142857143
2016-02-14,4.171428571428572
2016-02-21,2.6285714285714286
2016-02-28,2.414285714285714
2016-03-06,2.6142857142857143
2016-03-13,2.6
2016-03-20,3.957142857142857
2016-03-27,6.014285714285714
2016-04-03,8.042857142857143
2016-04-10,10.5
2016-04-17,9.785714285714286
2016-04-24,7.428571428571429
2016-05-01,7.628571428571429
2016-05-08,13.700000000000001
2016-05-15,15.428571428571429
2016-05-22,14.914285714285715
2016-05-29,17.728571428571428
2016-06-05,20.485714285714288
2016-06-12,18.04285714285714
2016-06-19,16.45714285714286
2016-06-26,21.771428571428572
2016-07-03,18.985714285714288
2016-07-10,18.75714285714286
