,Actual,Forecast,Lower95,Upper95,Temperature
2020-01-05,50161.70238095238,58500.56547006305,53595.475224103895,63405.6557160222,2.642857142857143
2020-01-12,59077.59523809524,62322.74878843252,57395.73943722948,67249.75813963555,5.242857142857143
2020-01-19,60361.69642857143,63744.32617770122,58795.49908184858,68693.15327355386,6.0
2020-01-26,60893.732142857145,63713.749659322784,58743.26704542424,68684.23227322132,1.5
2020-02-02,60839.19642857143,62962.7403444485,57970.64463357527,67954.83605532174,6.528571428571429
2020-02-09,60259.83928571428,62817.54097241485,57803.92832569124,67831.15361913845,5.314285714285715
2020-02-16,60845.125,62630.830315508785,57595.7966146493,67665.86401636827,5.742857142857143
2020-02-23,59787.32738095238,62202.06389395571,57145.69759329282,67258.4301946186,6.442857142857143
2020-03-01,58899.13690476191,63767.4351624985,58689.82614885346,68845.04417614354,4.942857142857143
2020-03-08,58688.47023809524,61633.91699615684,56535.15387448967,66732.68011782401,4.785714285714286
2020-03-15,58534.23809523809,62400.79345301895,57280.96346637049,67520.62343966741,6.442857142857143
2020-03-22,55372.744047619046,61968.24570446227,56827.435153692015,67109.05625523253,6.757142857142857
2020-03-29,53471.982142857145,58215.288222697156,53053.58234484657,63376.994100547745,3.5
2020-04-05,52845.267857142855,58156.16680533305,52973.64979561414,63338.68381505196,4.542857142857143
2020-04-12,47210.88690476191,58574.824247299024,53371.579295672054,63778.069198925994,10.914285714285715
2020-04-19,47415.69642857143,57696.581581074504,52472.69088687594,62920.47227527307,8.928571428571429
2020-04-26,50172.41666666666,58116.3938487923,52871.93863895297,63360.84905863163,11.914285714285715
2020-05-03,48161.90476190476,55630.19671249319,50365.257261113635,60895.13616387275,12.771428571428572
2020-05-10,49590.77976190476,56589.794172919166,51304.44981949335,61875.138526344985,12.114285714285714
2020-05-17,50926.97619047619,58773.471335231545,53467.80050204874,64079.14216841435,9.642857142857142
2020-05-24,47439.642857142855,56505.14418302391,51179.224392495074,61831.06397355275,14.842857142857143
2020-05-31,49527.607142857145,58037.70670885365,52691.61460029222,63383.79881741508,13.928571428571429
